uid; uri; description; 
1,35,69,104;spotify:track:6gdLoMygLsgktydTQ71b15;Test Music
1,35,69,103;spotify:track:0vf2eBw2inhl8y61cYQMv2;Cavetown - Devil Town
1,35,69,105;spotify:playlist:0BGpWnyKVHtu9B4dHViYan;Feel Good Playlist
21,4,45,191;spotify:track:0qcr5FMsEO85NAQjrlDRKo;Let it Go 
117,63,44,190;spotify:track:19TaJ9GxLt6AWFx3UumJT8;Volcano Man
4,138,110,122;spotify:album:5Z9iiGl2FcIfa3BMiv6OIw;Rick Astely Album
